id,scene,conversation
action_cat_noir_0001,"Exterior, Le Grand Paris. Ladybug is keeping vigilant when Cat Noir comes in on his Staff.","Cat Noir: No!
Cat Noir: (spins his staff, rushes in to attack) Didn't you see the news? Plastic's going out of fashion! (clashes with King of Plastic)
King of Plastic: (fights back) This is all Gabriel Agreste's fault! He's gonna pay for that! (knocks Cat Noir on top of the car. Ladybug goes in to attack. King of Plastic tries to paralyze her, but she dodges. She then throws her Yo-yo at him, which latches on his lance. Ladybug is shocked. King of Plastic grins and raises his lance high, causing Ladybug to be thrown up in the air and slam down on the car.)
Cat Noir: (helps Ladybug up as she rubs her head) Ladybug, is everything okay?"
action_cat_noir_0002,"Exterior, Agreste mansion. King of Plastic jumps down to attack Ladybug and Cat Noir.","King of Plastic: (gets back up) And renounce my throne? Never! (jumps up to the gate and escapes)
Cat Noir: Didn't you want to take revenge on Gabriel Agreste?
Ladybug: He probably has more than one enemy. (goes after him with Cat Noir following)"
action_cat_noir_0003,Engine room. Cat Noir runs in.,"Ladybug: (kicks King of Plastic) Cat Noir, they're going to need you in the hold! (Cat Noir begins to run below the deck)
Cat Noir: Cataclysm! (touches engine as it starts to breakdown and overload)
Ladybug: No more evil-doing for you, Megakuma! (opens her yo-yo) Time to de-evilize! (captures the Megakuma) Gotcha! (frees the purified butterfly) Bye-bye, little butterfly!"
action_cat_noir_0004,The Liberty. Smoke starts to come out from the Liberty as Ladybug is fighting King of Plastic.,"Ladybug: (as the others walk up) This is exactly what millions of sea animals are going through around the world!
Cat Noir: And they don't always have superheroes to offer a helping hand and save them
Bertrand: Ok, maybe plastic isn't always so fantastic
Cat Noir: In the future, make the products you manufacture are reusable or recyclable and made from things that decompose! (Ladybug and Cat Noir place their hands on their hips)
Bertrand: (picks off a Morpho fan) Alright, I think I haven't realized until now what plastic pollution really is"
adoration_cat_noir_0001,At the Eiffel Tower. All the people that Marinette and Zoé have collaborated with are gathered with them at the venue.,"Ladybug: (about Zoé) This young girl is innocent. She was framed... by Vanisher
Cat Noir: With Chloé's help
Ladybug and Cat Noir: (fist bump) Pound it!"
adrien_s_double_life_cat_noir_0001,,"Adrien: And the day is saved! Being Cat Noir's awesome. I can finally do whatever I wanna do and say whatever comes to mind!
Cat Noir: What do you say we wrap this up?
Adrien: Plus, I get to save Paris with Ladybug. In short, it's a great break from my life at home. When I’m Cat Noir, I really have a blast"
anansi_cat_noir_0001,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Anansi: Nora's not here to protect you anymore. I am Anansi, super-spider. (picks up the cabin they were riding in, jumps down from the Ferris wheel and throws the cabin on the ground)
Cat Noir: (to Anansi) All those arms, that's convenient, but you destroyed my scratching post
Anansi: Need a hand, kitty cat? (leaps down and begins fighting Cat Noir)"
anansi_cat_noir_0002,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Ladybug: Are you okay? (extends hand for Cat Noir to grab)
Cat Noir: Everything except my pride
Ladybug: The Akuma must be in her headgear
Cat Noir: Yeah, but she's so strong we can't even get near her
Ladybug: Okay, change of plan. I take care of Anansi, you release the prisoner; it'll distract her enough to drop her guard
Cat Noir: Look out! (embraces Ladybug to push her out of the way of a flying car; they land on the ground in an embrace)"
anansi_cat_noir_0003,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","FIGHT!: (hurls the car at the heroes, who leap separately out of the way)
Cat Noir: Huh? Seriously? (tries to pull himself loose, succeeds but gets hopelessly stuck against his back thanks to the recoil) Oh… uh… M'Lady? I think I got myself into a sticky situation
Anansi: Looks like I've already got a"
anansi_cat_noir_0004,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Anansi: Looks like I've already got a
cat: ch. You'll be next, beetle
Ladybug: I don't think so! (attacks with her yo-yo, but it gets caught and she gets flung across the street; she finds her foot stuck on a piece of cobweb)"
anansi_cat_noir_0005,Arc de Triomphe. Nino is still fighting Anansi using Cat Noir's staff.,"Nino: You shouldn't have underestimated me, legs. (charges again)
Cat Noir: (to Alya) Your friend's good at this
Alya: Yeah, but I sure hope Ladybug comes back before he gets bad at it"
anansi_cat_noir_0006,Arc de Triomphe. Nino is still fighting Anansi using Cat Noir's staff.,"Anansi: (crawling up to Cat Noir and grabbing his ring-wielding hand with her left hand while bracing herself with her right, and reaching for his ring with another left hand, to Cat Noir's alarm) It's just you and me, kitty cat
Cat Noir: Hey, spider, guess what. Cataclysm!
Hawk Moth: (from his lair) No! Don't touch his ring; it's charged with destructive energy!"
anansi_cat_noir_0007,Arc de Triomphe. Nino is still fighting Anansi using Cat Noir's staff.,"Anansi: (uninterestedly) Whatever, if you say so. (leans back to rest against the web upside-down and wait)
Cat Noir: (to no one in particular) Hurry up, Ladybug
Ladybug: (to Nino) I'm gonna need your help again. Do you still wanna save your friend?"
anansi_cat_noir_0008,Arc de Triomphe. Nino is still fighting Anansi using Cat Noir's staff.,"Carapace: At your service, dude— (Alya looks surprised, then suspicious) Uh, Ladybug. (holds up his shield) Shell-ter! Shiaaah!
Cat Noir: (to Ladybug) You're not really replacing me with a turtle, are you? (he pouts)
Ladybug: Not now, kitty. (hurls Cat Noir toward Anansi) Throw like a ladybug, scratch like a cat!"
anansi_cat_noir_0009,Arc de Triomphe. Nino is still fighting Anansi using Cat Noir's staff.,"Nora: The Beetle and Mister Whiskers? What's going on here?
Cat Noir: Uh, sorry, guys, but I've gotta split. (starts to run off)
Ladybug: Cat Noir! (Cat Noir stops) You know you're irreplaceable
Cat Noir: (smiles and nods) Mm-hmm. (runs off)"
animaestro_cat_noir_0001,Event. Adrien is peeling gum off Kagami's shoe.,"Animaestro: You haven't even seen the movie and you're already slamming it?
Cat Noir: He does have a point, you know
Ladybug: I wasn't slamming it. It's called constructive criticism! (Ladybug throws her yo-yo and it wraps around Animaestro. Civilians cheer at the potential defeat of Animaestro)
Cat Noir: Nice work, M’lady"
animaestro_cat_noir_0002,Event. Adrien is peeling gum off Kagami's shoe.,"Ladybug: How about you fear the power of the Lucky Charm! (Lucky Charm gives Ladybug a Camera) A camera?
Cat Noir: Of course! Who better to make a movie about Cat Noir and Ladybug, than Ladybug and Cat Noir?
Animaestro: YEAH! (shoots a laser out of his eyes which opens a hole below the heroes)
Cat Noir: He really doesn't take kindly to competition"
animaestro_cat_noir_0003,Parisian streets,"Ladybug: Wah!
Cat Noir: Cataclysm!
Animaestro: Everybody must watch ANIMATION! (fires an explosion at Ladybug and Cat Noir)
Cat Noir: Funny, cause I think we're the last ones"
animaestro_cat_noir_0004,Parisian streets.,"Ladybug: Shut your eyes tight, Cat Noir
Cat Noir: You know I trust you blindly
Ladybug: (opens her eyes) No more evildoing for you, little akuma! Time to de-evilize! (she captures the akuma in her yo-yo) Gotcha! (she presses the button at the top of her yo-yo and releases the purified akuma) Bye-bye, little butterfly. (she throws the camera in the air) Miraculous Ladybug! (grabs the ID as Animaestro is consumed by energy and turned back into Thomas)"
animaestro_cat_noir_0005,Parisian streets.,"Ladybug: (hands over ID) In the flesh
Cat Noir: You're about to transform back, M’lady
Ladybug: Bug out!"
animan_cat_noir_0001,The akuma flies and infects Otis' bracelet.,"Ladybug: And what do (you) think about ladybugs?
Cat Noir: And another black cat?
Animan: I think I'm higher on the food chain"
animan_cat_noir_0002,The akuma flies and infects Otis' bracelet.,"Ladybug: There are too many of them! We can't capture them all
Cat Noir: Well, what are we gonna do then?
Ladybug: Back to Plan A. If we can destroy his bracelet, I can capture the akuma. Everything will go back to normal!
Cat Noir: Sounds like a good idea!
Ladybug: But... it's unbreakable!
Cat Noir: He didn't actually break it. (squats down and he gives the yo-yo back to Ladybug)
Ladybug: Then how did he get away?
Cat Noir: I don't know, but we better find Kim... I mean, that boy, before he does"
animan_cat_noir_0003,The akuma flies and infects Otis' bracelet.,"Cat Noir: I don't know, but we better find Kim... I mean, that boy, before he does
Cat Noir: Over there!
Ladybug: (sees Animan about to approach Kim)"
animan_cat_noir_0004,The akuma flies and infects Otis' bracelet.,"Ladybug: You're not getting away (this) time!
Cat Noir: (to Kim) Quick, go and hide in the first building you come to. (places a tracker on Kim’s back before he runs off)
Animan: You'll never get me! (transforms into an eagle and flies away)
Cat Noir: Now we know how we got away earlier"
animan_cat_noir_0005,The TVi Newsflash is on the air.,"Ladybug: Come on, Cat Noir. Make sure you lock all the doors and windows
Cat Noir: We'll take care of the rest. You won't be in danger
Ladybug: Thanks Da-- uh, sir, for all your help"
animan_cat_noir_0006,Cat Noir sees the animals are rampaging. Ladybug sprays an air freshener on him.,"Ladybug: Et voila
Cat Noir: Whoa! What's that stuff?
Ladybug: Air freshener! It'll cover up our scent so he can't smell us
Cat Noir: Thanks. (He sniffs himself) I've always wanted to smell like... Ocean summer breeze? (he sees a small box) Couldn't we capture him inside something like this?
Ladybug: Only until he transforms into something bigger. (sees a bus) Would that make a big enough cage?
Cat Noir: Definitely. But how could we get him inside there? (hears Animan coming) He's coming
Ladybug: It's working. He's sniffing out Kim! (Cat Noir sniffs her and he gasps and he giggles. She is unamused) Follow me"
animan_cat_noir_0007,Animan is flying. He senses the smell and goes directly to the Bakery while Ladybug and Cat Noir hide behind the door.,"Ladybug: All these transformations seem to be tiring him out
Cat Noir: Then just let him wear himself out. It'll make it easier to capture his akuma. Cataclysm! (uses his Cataclysm to make all the buttons work. Ladybug and Cat Noir escape the bus, but Animan is trapped inside it.)
Ladybug: It's not exactly a cage, but... it'll do. (Animan morphs into a bear)
Cat Noir: I don't think he can (bear) to listen to that noise
Ladybug: You around is too much to bear. Now we wait
Cat Noir: Ready to free the akuma?
Ladybug: It's working!
Cat Noir: Hey! Since when do extinct animals count?
Ladybug: The T-Rex might have disappeared a long time ago, but technically it's.. still an animal. (The T-Rex roars and the two slowly back up)
Cat Noir: Well, I know of some other animals that will soon be extinct... The cat and the ladybug! (Ladybug and Cat Noir escape and hide on the side of a car)
Ladybug: Lucky Charm! (throws the yo-yo into the air and a car jack appears.) Huh? A car jack?
Cat Noir: Too bad Animan doesn't have any flat tires
Ladybug: Look how small his front arms are
Cat Noir: So it won't be great at basketball. What are you getting at?
Ladybug: You climb on top of him where he can't swipe at you, and while you're distracting him, I'll floor him!
Cat Noir: Sounds like a good plan. I can be very distracting"
animan_cat_noir_0008,Animan is flying. He senses the smell and goes directly to the Bakery while Ladybug and Cat Noir hide behind the door.,"Cat Noir: Sounds like a good plan. I can be very distracting
Cat Noir: It's gonna be tight. (while Animan chases them, Cat Noir stands on top of him. Ladybug pulls him with her yo-yo.)
Ladybug: Well, that's weird, we didn't have to use this. What does it mean?
Cat Noir: Well, I guess that only means we rock as a team
Ladybug: Cat Noir, wait! (Animan roars) I know what to do. (She starts running towards Animan)
Cat Noir: Ladybug!
Ladybug: Enjoy your meal!
Cat Noir: No! (spins his staff) You're so gonna pay for this!
Ladybug: No more evil doing for you, little akuma. Time to de-evilize! (capturess the akuma with her yo-yo) Gotcha! (releases a purified butterfly) Bye bye, little butterfly. Miraculous Ladybug! (throws the Lucky Charm into the air, its energy turns everything back to normal. Animan is turned back into Otis.) Pound it? (Cat Noir hugs her)
Cat Noir: Ladybug! That was a wild ride. (his Miraculous beeps) Whoops! Better take my whiskers and run! (Ladybug looks at him as he leaves)
Ladybug: See you next time, Cat Noir"
antibug_cat_noir_0001,Le Grand Paris. André Bourgeois is a giving a press conference.,"Chloé: (tackles Ladybug into a hug again) I'm sure you'll make my life perfect again! Just like it was before!
Cat Noir: Is something up? You seem…
Ladybug: She's hiding something"
antibug_cat_noir_0002,Le Grand Paris hotel lobby. Ladybug is asking Armand what he knows about Chloé and Sabrina.,"Armand: One of Mademoiselle's ideas. Big Mustachio want all Parisians to be deface with heinous mustaches
Cat Noir: Wow, what a hairy situation. (chuckles)
Ladybug: (sighs) Please go on. (flashbacks continued, this time at the dining hall. ""Big Mustachio"" gets out of the elevator to that floor)"
antibug_cat_noir_0003,Le Grand Paris hotel lobby. Ladybug is asking Armand what he knows about Chloé and Sabrina.,"Ladybug: This invisible person, it's obviously Sabrina
Cat Noir: Who's been akumatized by Hawk Moth
Chloé: Impossible! (sits on her chair from her room) She's too weak to do something so bold, especially to me. You're wrong!"
antibug_cat_noir_0004,Le Grand Paris hotel foyer. Ladybug dismisses Jean and talks to Cat Noir.,"Vanisher: They'll never see me coming, Hawk Moth. (the glow disappears and Vanisher drops the rose on the ground. Cat Noir and Ladybug turn around and see the rose)
Cat Noir: Huh?
Ladybug: Huh?
Cat Noir: Uh, the flower. It– (Cat Noir notices Vanisher is trying to take Ladybug's earrings) Look out Ladybug! (they jump into action and use their weapons as shields in front of them)"
antibug_cat_noir_0005,Le Grand Paris hotel foyer. Ladybug dismisses Jean and talks to Cat Noir.,"Ladybug: Can you handle this, Cat Noir?
Cat Noir: With pleasure my lady. (Cat Noir restrains Vanisher and Ladybug wraps Chloé in her yo-yo, then she leaves her inside the elevator)
Chloé: But wait! The akuma has to be in the designer pin I bought her. She's wearing it on her sweater. Such an unfortunate ugly sweater. It was a gift from me"
antibug_cat_noir_0006,Le Grand Paris hotel foyer. Ladybug dismisses Jean and talks to Cat Noir.,"Sabrina: Uh, wh-what happened? What am I doing here? Oh no! It's the brooch Chloé gave me! (picks up the pin)
Cat Noir: (to Ladybug) Why didn't you listen to Chloé? She was only trying to help
Ladybug: First, because that girl put us in danger. And second, she completely lied to us earlier. I was not gonna listen to a liar"
antibug_cat_noir_0007,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Ladybug: We'll see each other again soon, trust me!
Cat Noir: Looks like it's just you and me now, Antibug
Antibug: I love a good catfight! (Cat Noir and Antibug start fighting)"
antibug_cat_noir_0008,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Antibug: Team up with (me), Cat Noir!
Cat Noir: Never! Not with a fake like you. Ladybug and I are a team. Let's hope the real deal shows up soon
Antibug: I know you can hear me Lady-brat, wherever you are. You're going to have to choose. If you wanna keep Cat Noir alive, you'll have to give me your Miraculous. And if you refuse, well then take a good look at Cat Noir, because this will be the last you'll ever see of him. I'm going to count to ten! One…!
Cat Noir: Uh… could you make that 20?
Antibug: Two…!"
antibug_cat_noir_0009,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Antibug: Ladybug…
Cat Noir: Ladybug. (Marinette unties Cat Noir. Meanwhile, Antibug goes off and she finds Marinette's phone)
Ladybug: (video from the phone) ""Cat Noir and I, we're an unstoppable team."""
antibug_cat_noir_0010,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Antibug: Bad kitty! Come here to get your leash back
Cat Noir: Sorry, but I don't take any orders from a mere copycat. (Antibug throws her yo-yo but Ladybug's yo-yo deflects it)
Ladybug: Nice yo-yo, mine's better!
Cat Noir: What kept you?
Ladybug: I'm thinking the akuma's in the yo-yo
Cat Noir: I'm thinking it's in her earrings
Ladybug: Why?
Cat Noir: She was already wearing them when she was akumatized, and her yo-yo was destroyed
Ladybug: Ah, pretty good advice, for a cat. (rings Cat Noir's bell)
Cat Noir: Thanks
Ladybug: Lucky Charm! (Ladybug's Lucky Charm gives her a bag of marbles)"
antibug_cat_noir_0011,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Ladybug: See that's your downfall, you're always so quick to judge. (sprints over to Cat Noir, while Antibug charges at her with the sword) Over to you!
Cat Noir: Got it! (Ladybug throws the marbles to Cat Noir and he breaks the bag, spilling the marbles and tripping Antibug, who drops her sword) I'll take that. (uses his staff to throw the sword all the way to the Eiffel Tower, scaring two loving pigeons)
Antibug: See? You're nothing without your Cat Noir!"
antibug_cat_noir_0012,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Hawk Moth: Take her Miraculous before it's too late!!!
Cat Noir: Cataclysm! (breaks the pool cover causing Antibug to fall gets trapped)
Antibug: Ah! (Ladybug jumps over her and takes her earrings off. She stomps them and the akuma flies off)"
antibug_cat_noir_0013,"Outside Le Grand Paris. Reporters swarm Ladybug, but her transformation is about to run out.","Ladybug: Thanks for your advice Cat Noir
Cat Noir: 'Course. We're a team, aren't we? (Ladybug runs past him)
Ladybug: Unstoppable. Bug out! (leaves)"
backwarder_cat_noir_0001,Jardin des Tuileries. Ladybug and Cat Noir hide behind a statue as Backwarder searches for them.,"Hawk Moth: Then I'll be able to get my hands on not only their Miraculous, but all the other magic jewels as well! (laughs evilly)
Cat Noir: It's time we made a plan!
Ladybug: A little helping hand from fate is in order! Lucky Charm!
Cat Noir: That's incredible! I was just thinking to myself, why don't we redo the fountain's plumbing while we're here?
Ladybug: (looks around; her vision highlights Cat Noir, a kite on the ground and the pipe) Okay, I know what to do, follow me. She's gone away! Quick, let's make the most of it! (cuts the kite string) Take this! (She gives Cat Noir the string, then makes a cross in the sand with the pipe, then places the pipe on the center of the cross.)"
backwarder_cat_noir_0002,Jardin des Tuileries. Ladybug and Cat Noir hide behind a statue as Backwarder searches for them.,"Ladybug: (faces Cat Noir) I'm sorry
Cat Noir: Sorry for what?
Ladybug: For this! (pushes Cat Noir into Backwarder so he gets backwarded, and starts the timer)
Cat Noir: ?tahw rof yrroS"
backwarder_cat_noir_0003,Jardin des Tuileries. Ladybug and Cat Noir hide behind a statue as Backwarder searches for them.,"Backwarder: You'll understand soon enough. He's powerless now, but I want Ladybug! She's my only ticket back to Fu. (Ladybug checks her timer, leading Backwarder to Cat Noir)
Cat Noir: ydal'm, htraE eht fo sdne eht ot uoy wollof ll'I (Cat Noir is back near the cross in the sand)
Ladybug: (stops in front of the cross and fakes a sprained ankle) Ow, my ankle! I think I've sprained it!"
backwarder_cat_noir_0004,Jardin des Tuileries. Ladybug and Cat Noir hide behind a statue as Backwarder searches for them.,"Ladybug &amp; Cat Noir: Pound it!
Cat Noir: Well, at least I think so, 'cause to be honest. I still don't understand what all that was about
Ladybug: (helping Ms. Lenoir get up) That's because we girls are mysterious that way. (looks at Ms. Lenoir)
Cat Noir: (his ring beeps) Oh, oops! Sorry, but I'd better scat, super fast
Ladybug: Why the rush?
Cat Noir: It's a secret, you see, we cats are mysterious too. (He runs away, and Ladybug gently seats Ms. Lenoir on a bench.)"
bakerix_cat_noir_0001,Streets of Paris.,"Ladybug: (lands in a tree) Ah! Oof!
Cat Noir: Don't worry, milady, (extends his stick to her) I'm right here
Ladybug: (jumps out of the tree without his assistance) Thanks Cat Noir, but girls don't always need to be saved by a boy
Cat Noir: You think I'm a tad old-fashioned, don't you?
Ladybug: Oh, I've seen worse than you. Just wait 'til you meet Bakerix. (jumps away, Cat Noir follows)"
bakerix_cat_noir_0002,Outside the Louvre Palace.,"Bakerix: Just like the good ol' days. (sees the Louvre, and trembles with rage) Oh! Oh hoho! An Egyptian pyramid in the King's court! (leaps to attack it) But that's not how it's done! (Cat Noir's stick stops him in midair, and he tumbles onto the pyramid, and then the ground below it)
Cat Noir: A blending of ancient and modern. I personally like this glass pyramid a lot
Ladybug: It's proof that you can be modern, and still respect the past"
bakerix_cat_noir_0003,Outside the Louvre Palace.,"Bakerix: You're out of your league! You don't have enough experience! (throws the pyramid on top of them, trapping them. He leaps away again.)
Cat Noir: Trapped! Cata- !
Ladybug: (grabs his wrist) Save your Cataclysm! We're probably gonna need it. (sees a sewer covering) Emergency exit!
Cat Noir: Good eye. (They enter the sewers.)"
bakerix_cat_noir_0004,The Gare du Nord.,"Ladybug: We've got a train to catch
Cat Noir: Boarding now! (They run inside, where Bakerix is attempting to lift the train.)
Ladybug: (jumps on top of the train) Be reasonable now, Mister Bakerix. There are a lot of people on this train"
bakerix_cat_noir_0005,The Gare du Nord.,"Ladybug: (sees the grate to the wind turbine) Do your thing, Cat Noir!
Cat Noir: Cataclysm! (cataclysms the grate, which Bakerix lands on and breaks, tumbling down)
Ladybug: You're just blown away by this sandwich, aren't you?"
bakerix_cat_noir_0006,The Gare du Nord.,"Roland: I must get home. (Ladybug's earrings beep rapidly)
Cat Noir: I'll take him back, milady. I've got more time left than you
Ladybug: Thank you, Cat Noir. Bug out! (uses her yo-yo to swing away)
Cat Noir: (as Roland climbs on his back) Are you sure you wanna go home on a superhero's back? It's fast, but not very traditional"
bakerix_cat_noir_0007,Roland's House.,"Marinette: You see? I (do) know how it's done
Cat Noir: Well, if it's all good, I'll be on my way. (turns to leave)
Roland: No, wait! We need a judge, to determine which of these loaves is the best
Cat Noir: (his ring beeps) Uh, the thing is, I'm gonna transform back soon, and- whoa! (Roland pushes him toward the bread) You're a real tough cookie, even without your superpowers. (he tries both loaves) Mmm. Both these breads are delicious, d'you have any jam by any chance?"
befana_cat_noir_0001,The Place des Vosges,"Befana: It's rude to leave while Befana's still speaking to you. (her gun's aim is knocked away by Cat Noir's staff and she looks over at him)
Cat Noir: (perched on top of a speaker) Hey, I never knew grandmas could be so nasty
Befana: You would look wonderful in white, my pretty kitty. (she rotates the cylinder of her gun again and fires at Cat Noir, who dodges easily, but barely)
Cat Noir: Eh, not convinced. I'm much more into black- makes my eyes stand out, don't you think? (he dodges more blasts from Befana's gun)
Befana: (to the fairy Sabine) Take care of this pesky pussycat!
Cat Noir: Hey, I thought fairies were supposed to be nice! (Sabine manages to attack him and they go into the treetops)
Befana: (firing coal shots at Marinette) You're not getting away unpunished, Marinetta! (Marinette trips and drops Adrien's present, which is turned to coal) You don't deserve all these presents, you spoiled little brat! Now, for what you really deserve. (she attempts to fire her gun again, but it is empty, forcing her to reload from the bag at her waist) Don't worry. You'll get what's coming to you"
befana_cat_noir_0002,The Place des Vosges,"Marinette: Cat Noir!
Cat Noir: (still trying to fend off the fairy Sabine) Stay put, I'll be right there! (he is attacked again) Uh, soon!
Befana: (turns Marinette's hiding spot into coal) Or do you also lie to your parents and your friends, too?"
befana_cat_noir_0003,Rooftops,"Befana: Is that how you speak to your elders? How rude. (she turns the others into coal, freeing her fairies) Maybe this way you'll learn to keep quiet
Cat Noir: You must be a real cool girl if your friends are protecting you like that. So why's your grandma flipping out?
Marinette: I think she wanted me to spend more time with her
Cat Noir: Don't worry. I promise to get your real grandma back safe. (He bounds to the railing and hops up, then stops, looking back at her) Oh, I almost forgot. Happy birthday, anyway
Marinette: Thank you, Cat Noir"
befana_cat_noir_0004,Rooftops,"Befana: (sings) ♫ La Befana comes at night, on her shaky broom in flight. She gives out candy to those who are dandy. And only gives coal to brats with no soul. ♫ (Suddenly, Befana is knocked off her bike by Cat Noir's staff getting in her way)
Cat Noir: (singing to the same melody as Befana) ♫ Cat Noir comes to, unexpectedly, (he stops singing) Uh, how do you make that rhyme? ♫
Ladybug: (landing beside him and finishes his song) ♫ Fighting evil with his lady! ♫
Cat Noir: Of course! Not bad, Bugaboo!"
befana_cat_noir_0005,Rooftops,"Befana: Much better, Hawk Moth! (she points to Cat Noir) You little thief! Where have you hidden Marinetta?!
Cat Noir: I forgetta
Ladybug: Watch out, or you'll be getting a time out of your own"
befana_cat_noir_0006,Eiffel Tower,"Ladybug: (She looks over her shoulder for her Lucky Charm, and her Lucky Charm vision alights on the elevator doors, the underground fire hydrant, and the tuba) Okay. You win, Befana. (she winks to a shocked Cat Noir)
Cat Noir: I- I did lie, I'm sorry. Your granddaughter is here
Ladybug: Never too late to tell the truth, right?"
befana_cat_noir_0007,Elsewhere on the Eiffel Tower. Cat Noir apprehensively opens a closet door and sighs in relief on seeing the real Marinette isn't inside,"Befana: What is the meaning of this?! She isn't here!
Cat Noir: (shrugging) I guess I'm a compulsive liar?
Befana: (she growls in frustration, then hears the elevator) Huh? (She sees it going down) There you are! Nice try, Marinetta, but you won't get away that easily! Ha! (she jumps over the glass guard wall onto her motorbike, laughing. Meanwhile Ladybug and Cat Noir appear at the guard wall, looking down)"
befana_cat_noir_0008,Eiffel Tower Base,"Ladybug: (throwing her yo-yo to the Lucky Charm tuba) Cat Noir! The fire hydrant!
Cat Noir: My pleasure Cataclysm! (He uses his left hand to pull the cover off the fire hydrant and presses down on the hydrant with Cataclysm, causing a fountain of water to appear)
Befana: Noooo!"
captain_hardrock_cat_noir_0001,On the Liberty,"Ladybug: I hope you've got your sea legs kitty
Cat Noir: I'll be purr-fect, as long as I stay dry
Captain Hardrock: Seize them
Cat Noir: Any idea where the akuma is?"
captain_hardrock_cat_noir_0002,On the Liberty,"Ladybug: We've gotta stop this ship
Cat Noir: It's time we got this vessel anchored. Let's rip this off! (attempts to rip the sails apart) It's no good. (Ladybug tries to turn the wheel)
Ladybug: It's blocked"
captain_hardrock_cat_noir_0003,On the Liberty,"Captain Hardrock: Him again? Fire! (Roger lands in a tree) En garde. (Turns to where Ladybug was) Huh? Where did you go? If you refuse to give me your Miraculous, my next target will be Major Bourgeois and his land lover-in Orchestra. Liberty, next stop City Hall. (Liberty fires at a bridge)
Cat Noir: Thanks my lady, any longer and I would've been fish food
Ladybug: We've got a problem Cat Noir. I couldn't free the prisoners, and I have no idea what I'm supposed to do with this
Cat Noir: It's probably just trying to tell you that you're chained to me, forever
Ladybug: You're pulling my chain Cat Noir. It's time to take the ship, follow me
Cat Noir: Aye aye Captain Ladybug"
captain_hardrock_cat_noir_0004,On the Liberty,"Anarka: What happened?
Cat Noir: Oh not much, you just had a bout of... Seasickness. (his Miraculous beeps) Time to raise the sails my lady. (jumps away)
Ladybug: Miraculous Ladybug! (The Miraculous light fixes all of the damage caused) Enjoy your gig, bug out. (jumps away)"
cat_blanc_cat_noir_0001,Burrow,"Adrien: Plagg, claws out!
Cat Noir: CATACLYSM!!!!!!! (cataclysms the Akuma, destroying it)
Marinette: Adrien!
Cat Noir: You were about to be akumatized. I didn't have a choice, m'lady
Marinette: M'lady? But how did you know? I thought our identities were supposed to remain a secret! (drops umbrella and hugs Cat Noir tearfully)
Cat Noir: Everything will be okay, I promise"
cat_blanc_cat_noir_0002,"Alternate Paris, underwater","Ladybug: You're done, Hawk Moth! Give us back your Miraculous!
Cat Noir: (throws Hawk Moth's cane in the water) You know what they say. The wave of a moth's wing can set off a cataclysm!
Hawk Moth: I would put that Cataclysm away if I were you... ("
cat_blanc_cat_noir_0003,"Alternate Paris, underwater","For us.: )
Cat Noir: Father? (Ladybug looks at him in shock) Why? (Why?) (
WHY?!?!: ) (angrily runs up to Hawk Moth with cataclysm's power increased) Why...?"
cat_blanc_cat_noir_0004,"Alternate Paris, underwater","Hawk Moth: If she really loved you, she'd let you save your mother!!! (points accusingly at Ladybug)
Cat Noir: Stop it!! (Stop it!!!) (
STOP IT!!!!!!!!!!!!!!: )"
cat_blanc_cat_noir_0005,"Alternate Paris, underwater","Obey!!!: )
Cat Noir: (tries to fight back but fails) I'm sorry, Ladybug!
Hawk Moth: Seize her Miraculous, (My Son!!!)"
