id,scene,conversation
action_ladybug_0001,"Exterior, Le Grand Paris. Ladybug is keeping vigilant when Cat Noir comes in on his Staff.","Cat Noir: Meow, m'lady!
Ladybug: Perfect timing, kitty cat. (points downward) Check this out. (camera pans to King of Plastic walking towards the Agreste mansion) There's a new villain in town
Cat Noir: And he's headed towards (camera pans to Placide I.T. washing the car's windows.) the house of the famous designer, Gabriel Agreste!
Ladybug: And his son, Adrien. (Cat Noir pole vaults off the roof, but almost falls at the mention of his civilian persona. He turns back to Ladybug.)
Cat Noir: (as he grips his staff) You were saying?
Ladybug: (throws her Yo-yo) That there's not a moment to lose! (swings towards the mansion.)"
action_ladybug_0002,"Exterior, Agreste mansion. King of Plastic jumps down to attack Ladybug and Cat Noir.","Cat Noir: Hey! He plasticized my staff! (King of Plastic is about to attack again. Ladybug notices and pushes Cat Noir out of the way before the car turns plastic)
Ladybug: (swings her Yo-yo, goes to attack) You're the tycoon who makes all these polluting fans! The King of Plastic, aren't you?! (tries to punch him, but he dodges each punch.)
Cat Noir: The King of Pollution, you mean!"
action_ladybug_0003,Liberty. Marinette's friends are dancing.,"Ladybug: Lucky Charm! (activates her power and receives a plastic bag.)
Ladybug: A plastic bag?
Cat Noir: (while holding off King of Plastic) Your superpower has quite a sense of humor"
action_ladybug_0004,Liberty. Marinette's friends are dancing.,"Cat Noir: (kicks King of Plastic) At least it can't be turned into plastic!
Ladybug: Because it's already plastic! Good thinking, Cat Noir!
Cat Noir: (blocks King of Plastic's lance with his staff) You're welcome, m'lady!
Ladybug: (realizes) We need more plastic! Lots and lots of plastic!"
action_ladybug_0005,Liberty. Marinette's friends are dancing.,"Cat Noir: (lands) Are you serious, m'lady?!
Ladybug: I couldn't be any more serious, kitty! (to Alya) I need as much plastic as can be found in the water. (Alya is shocked, but smiles and runs off)
Alya: (as the others pop out of their hiding place) We've got to get the houseboat's treatment system running again"
action_ladybug_0006,The Liberty. Smoke starts to come out from the Liberty as Ladybug is fighting King of Plastic.,"Bertrand: (picks off a Morpho fan) Alright, I think I haven't realized until now what plastic pollution really is
Ladybug: Mr. Bertrand, here's a Magical Charm to help you remember your good resolution
Group: Pound it!
Ladybug: Miraculous Ladybug!"
adoration_ladybug_0001,At the Eiffel Tower. All the people that Marinette and Zoé have collaborated with are gathered with them at the venue.,"Ladybug: Lucky Charm! (receives a piñata)
Ladybug: I know who did this!
Chloé: (shakes her head annoyingly) Ugh, that's all we need. Maybe your piñata did it, Ladylame?
Ladybug: No, it was an akumatized villain! There — Vanisher!"
adoration_ladybug_0002,At the Eiffel Tower. All the people that Marinette and Zoé have collaborated with are gathered with them at the venue.,"Cat Noir: I got your message and got here quickly as I could, m'lady
Ladybug: Perfect timing, kitty cat! How would you like to help me reveal the truth? (points at the bottle of spray adhesive below them)
Cat Noir: Always happy to help a friend out of a sticky situation!"
adoration_ladybug_0003,At the Eiffel Tower. All the people that Marinette and Zoé have collaborated with are gathered with them at the venue.,"Ladybug: The whistle!
Ladybug: Cat Noir!
Cat Noir: Cataclysm! (catches the whistle and disintegrates it, freeing the Megakuma)
Ladybug: No more evil-doing for you, Megakuma! (swipes open her yo-yo) Time to de-evilize! (captures the Megakuma...) Gotcha! (...and frees the purified butterfly) Bye-bye, little butterfly!"
adoration_ladybug_0004,At the Eiffel Tower. All the people that Marinette and Zoé have collaborated with are gathered with them at the venue.,"Ladybug: No more evil-doing for you, Megakuma! (swipes open her yo-yo) Time to de-evilize! (captures the Megakuma...) Gotcha! (...and frees the purified butterfly) Bye-bye, little butterfly!
Ladybug: Miraculous Ladybug! (tosses the piñata into the air and repairs every damage caused by the villain)
Chloé: Sabrina! You were ridiculous! Utterly ridiculous!
Ladybug: (walks to Sabrina and gives her the magical charm) This magical charm will help you remember where good and evil lie, and to make the right choices"
adrien_s_double_life_ladybug_0001,,"Adrien: With it, I can destroy whatever I touch. But I can't get it wrong, because I only have 5 minutes after using it before I transform back. Then, Ladybug just needs to capture the villain's akuma
Ladybug: No more evildoing for you, little akuma!
Adrien: And the day is saved! Being Cat Noir's awesome. I can finally do whatever I wanna do and say whatever comes to mind!"
anansi_ladybug_0001,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Female civilian: Thank you, Cat Noir
Ladybug: You do pretty well without me, I see
Cat Noir: Yup, but it's so much nicer when (you're) here, M'Lady
Ladybug: Let's go show that spider what two superheroes are capable of! Ha!"
anansi_ladybug_0002,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Anansi: Oh yeah? (jumps down to Nino) And how exactly is a weak little fly-weight gonna force me to release my prisoner?
Ladybug: Watch out! You need to leave this to the professionals. (lowers Nino to the ground, then leaps off)
Nino: (runs back as soon as he hits the ground again) This isn't over, spider!"
anansi_ladybug_0003,"Place de la Concorde, Ferris wheel. Marinette, Alya and Nino are in the Ferris wheel, watching the fireworks show. Marinette is holding her phone so Adrien can see, too.","Nino: Are you okay, dude—uh, I mean, Ladybug?
Ladybug: Yeah, but we're gonna need some help! Lucky Charm! (A square candle appears) A candle? (gasps) Of course! But I don't have enough time to do a round trip
Nino: Maybe I could help you? (Ladybug gasps) Uh, I get it. It's cool. I'm no superhero. I'd tried to save Alya, but… guess I'm not strong enough
Ladybug: Let me tell you a secret, uh… (picks up Cat Noir's staff)
Nino: Nino. The name's Nino
Ladybug: Nino. When you're facing a supervillain, strength doesn't make a difference. Courage and determination do. (gives Nino Cat Noir's staff) We can't let Anansi get Cat Noir's Miraculous. Use this to defend yourself and distract her. I won't be long. (leaps away with her yo-yo; Nino looks amazed)"
